"EXERCISE_ID","EXERCISE_NAME","MET","EXERCISE_PICTURE"
1162,코어운동,4.50,NULL
1163,렛풀다운,5.00,NULL
1164,헬스(보통으로),5.50,NULL
1165,근력운동(전신),5.50,NULL
1166,하체 근력운동,5.00,NULL
1167,웨이트운동(격렬하게) - 전신,6.00,NULL
1168,저항성운동(격렬하게) - 전신,6.00,NULL
1169,저항성운동(보통으로) - 전신,5.00,NULL
1170,보디빌딩(보통으로),5.00,NULL
1171,바벨 숄더프레스,5.50,NULL
1172,브릿지,3.50,NULL
1173,리버스 컬,5.00,NULL
1174,턱걸이(가볍게),3.00,NULL
1175,턱걸이(격렬하게),8.00,NULL
1176,풀업(격렬하게) - 상지(어깨),8.00,NULL
1177,서키트 트레이닝(보통으로),4.30,NULL
1178,트램폴린(레크레이션적인),3.50,NULL
1179,트램폴린(경쟁적인),4.50,NULL
1180,타바타 운동,8.00,NULL
1181,발레(일반적인),5.00,NULL
1182,발레(격렬하게),6.80,NULL
1183,점핑운동(레크레이션적인),3.50,NULL
1184,점핑운동(경쟁적인),4.50,NULL
1185,검도,6.00,NULL
1186,펜싱,6.00,NULL
1187,암워킹,6.00,NULL
1188,런닝머신(걷기),4.50,NULL
1189,승마운동기구,5.00,NULL
1190,시티드 로우,5.00,NULL
1191,국선도,4.50,NULL
1192,원 암 덤벨로우,5.00,NULL
1193,필라테스(기구),5.00,NULL
1194,슬로우버피(일반적인),5.50,NULL
1195,복근운동(보통으로),3.80,NULL
1196,이클립스,7.00,NULL
1197,워킹,4.50,NULL
1198,헬스(가볍게),5.00,NULL
1199,디스코 댄스,7.80,NULL
1200,줌바댄스,5.00,NULL
1201,상체 근력운동,5.50,NULL
1202,유도,10.00,NULL
1203,"건강증진 비디오 게임 보통으로(예, 위피트 등)",3.80,NULL
1204,배드민턴 시합,7.00,NULL
1205,고정식자전거(격렬하게),10.50,NULL
1206,런지(가볍게),2.80,NULL
1207,스쿠버 다이빙,6.00,NULL
1208,복싱,7.80,NULL
1209,트위스트 런,5.00,NULL
1210,워킹런지,5.50,NULL
1211,공중걷기,3.50,NULL
1212,프롭테라피,3.80,NULL
1213,박스점프,5.50,NULL
1214,암풀다운,4.00,NULL
1215,시티드로우,4.00,NULL
1216,스텝밀,7.00,NULL
1217,트라이셉스 푸시 다운,5.00,NULL
1218,뒤로 걷기,3.00,NULL
1219,제자리 걷기,2.00,NULL
1220,레그 익스텐션,5.00,NULL
1221,이두 컬,5.00,NULL
1222,해머 컬,5.00,NULL
1223,덩키킥,7.00,NULL
1224,크로스 핏,8.00,NULL
1225,마운팅클라이밍,7.00,NULL
1226,음파진동기,2.50,NULL
1227,와이드 스쿼트,5.50,NULL
1228,배구연습(일반적인),4.00,NULL
1229,폼롤러,3.00,NULL
1230,인클라인 벤치 프레스,5.00,NULL
1231,스탠딩 카프 레이즈,5.00,NULL
1232,백 익스텐션,3.50,NULL
1233,버티기,1.00,NULL
1234,렛 풀 다운,5.00,NULL
1235,게이트볼,3.00,NULL
1236,킥 백,5.00,NULL
1237,사이드 밴드,3.50,NULL
1238,벤트 오버 레터럴 레이즈,5.50,NULL
1239,밸리댄스,4.50,NULL
1240,(윈드)서핑,5.00,NULL
1241,버피테스트,83.00,NULL
1242,덤벨 프레스,5.00,NULL
1243,방송댄스,7.00,NULL
1244,조정(로잉머신),4.80,NULL
1245,"주짓수_시합, 격렬하게",10.30,NULL
1246,파크골프,4.30,NULL
1247,어시스트 풀업,5.00,NULL
1248,스포츠클라이밍,7.00,NULL
1249,인터벌 런닝,8.00,NULL
1250,힙 어브덕션,5.00,NULL
1251,행잉 레그레이즈,10.00,NULL
1252,세라밴드,3.50,NULL
1253,마운틴 클라이머,7.00,NULL
1254,랫플다운,4.00,NULL
1255,팔굽혀매달리기,5.00,NULL
1256,폴댄스,5.50,NULL
1257,벤트 오버 바벨 로우,5.50,NULL
1258,플라잉 요가,4.00,NULL
1259,리어델트 머신,5.00,NULL
1260,케이블 크로스 오버,5.00,NULL
1261,맨발걷기,4.50,NULL
1262,씨름,6.00,NULL
1263,플랭크,3.80,NULL
1264,레그 컬,5.00,NULL
1265,루마니안 데드리프트,5.00,NULL
1266,앉아서 다리들기,2.50,NULL
1267,레터럴 레이즈,5.00,NULL
1268,승마(천천히),3.80,NULL
1269,승마(빠르게),5.80,NULL
1270,타바타운동,9.00,NULL
1271,마이마운틴,5.50,NULL
1272,로드자전거(중강도),8.00,NULL
1273,누워서 걷기,3.50,NULL
1274,백 스쿼트,6.00,NULL
1275,고전무용,6.00,NULL
1276,스티브 레그 데드리프트,8.00,NULL
1277,수중 걷기,3.50,NULL
1278,덤벨 숄더프레스,5.50,NULL
1279,철봉매달리기,3.80,NULL
1280,트라이셉스 익스텐션,5.00,NULL
1281,펙덱 플라이,5.50,NULL
1282,벤치 프레스,5.00,NULL
1283,스케이팅,7.00,NULL
1284,짐볼운동,3.80,NULL
1285,"108배",2.00,NULL
