FOOD_CODE,FOOD_NAME,ENERGY
D000409,돼지머리고기,650
D000410,매운갈비찜,517.44
D000414,북어찜,235
D000415,붕어찜,835.6
D000416,소갈비찜,494.6
D000417,순대,542.42
D000418,아구찜,310.87
D000419,아구찜,492.32
D000420,안동찜닭,1364.21
D000422,조기찜,182.12
D000424,참꼬막,90.79
D000426,해물찜,400.08
D000432,곰탕,183.25
D000433,광어매운탕,419.79
D000436,낙지탕,187.8
D000440,대구매운탕,361.75
D000441,대구지리탕,262.02
D000443,메기매운탕,400
D000444,복지리탕,232.05
D000447,소탕,86.37
D000448,아구탕,246.07
D000450,어탕,85.87
D000451,연포탕,541.64
D000453,우럭매운탕,406.82
D000456,전복탕,196.85
D000457,조기매운탕,384.38
D000458,짱뚱어탕,188.77
D000460,추어탕,316.72
D000461,해물탕,267.81
D000463,고구마맛탕,491
D000464,고구마튀김,252.96
D000465,고추튀김,202
D000468,닭튀김,903
D000469,등심돈가스,623.83
D000470,모래집튀김,468.37
D000471,미꾸라지튀김,387.49
D000473,생선까스,653.44
D000474,안심돈가스,651.75
D000475,양념치킨,552
D000477,쥐포튀김,356.91
D000479,치즈돈가스,755.37
D000480,치킨까스,593
D000481,대구포,140.84
D000483,매작과,123.86
D000484,산자,109.71
D000485,송화다식,110.83
D000486,약과,119.73
D000487,유과,127.09
D010001,글램핑 바비큐(오리지널 L),410
D010002,글램핑 바비큐(나폴리M),328
D010003,글램핑 바비큐(나폴리L),312
D010004,글램핑 바비큐(씬 M),266
D010005,글램핑 바비큐(씬 L),273
D010006,글램핑 바비큐(슈퍼시드 함유 도우M),485
D010007,글램핑 바비큐(슈퍼시드 함유 도우L),392
D010008,글램핑 바비큐 더블치즈엣지(오리지널 M),330
D010009,글램핑 바비큐 더블치즈엣지(오리지널 L),489
D010010,더블크러스트 이베리코(더블 크러스트 L),387
D010011,더블크러스트 이베리코(더블 크러스트 M),345
D010012,리얼불고기(오리지널 L),420
D010013,리얼불고기(오리지널 M),280
D010014,리얼불고기(나폴리L),334
D010015,리얼불고기(나폴리M),430
D010016,리얼불고기(씬 L),365
D010017,리얼불고기(씬 M),396
D010018,리얼불고기(슈퍼시드 함유 도우L),313
D010019,리얼불고기(슈퍼시드 함유 도우M),292
D010020,리얼불고기 더블치즈엣지(오리지널 L),344
D010021,리얼불고기 더블치즈엣지(오리지널 M),350
D010022,문어밤 슈림프(오리지널 L),428
D010023,문어밤 슈림프(오리지널 M),280
D010024,문어밤 슈림프(나폴리L),323
D010025,문어밤 슈림프(나폴리M),430
D010026,문어밤 슈림프(씬 L),254
D010027,문어밤 슈림프(씬 M),389
D010028,문어밤 슈림프(슈퍼시드 함유 도우L),333
D010029,문어밤 슈림프(슈퍼시드 함유 도우M),280
D010030,문어밤 슈림프 더블치즈엣지(오리지널 L),322
D010031,문어밤 슈림프 더블치즈엣지(오리지널 M),347
D010032,베스트 콰트로(오리지널 L),460
D010033,베스트 콰트로(오리지널 M),312
D010034,베스트 콰트로(나폴리L),387
D010035,베스트 콰트로(나폴리M),259
D010036,베스트 콰트로(씬 L),306
D010037,베스트 콰트로(씬 M),457
D010038,베스트 콰트로(슈퍼시드 함유 도우L),274
D010039,베스트 콰트로(슈퍼시드 함유 도우M),322
D010040,베스트 콰트로 더블치즈엣지(오리지널 L),393
D010041,베스트 콰트로 더블치즈엣지(오리지널 M),384
D010042,베이컨체더치즈(오리지널 L),455
D010043,베이컨체더치즈(오리지널 M),311
D010044,베이컨체더치즈(나폴리L),356
D010045,베이컨체더치즈(나폴리M),465
D010046,베이컨체더치즈(씬 L),382
D010047,베이컨체더치즈(씬 M),437
D010048,베이컨체더치즈(슈퍼시드 함유 도우L),377
D010049,베이컨체더치즈(슈퍼시드 함유 도우M),307
D010050,베이컨체더치즈 더블치즈엣지(오리지널 L),355
D010051,베이컨체더치즈 더블치즈엣지(오리지널 M),364
D010052,불고기(오리지널 L),436
D010053,불고기(오리지널 M),291
D010054,불고기(나폴리L),319
D010055,불고기(나폴리M),421
D010056,불고기(씬 L),250
D010057,불고기(씬 M),394
D010058,불고기(슈퍼시드 함유 도우L),312
D010059,불고기(슈퍼시드 함유 도우M),301
D010060,불고기 더블치즈엣지(오리지널 L),342
D010061,불고기 더블치즈엣지(오리지널 M),350
D010062,블랙앵거스 스테이크(오리지널 L),405
